"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"02.01.2021 12:15 - 02.01.2021 12:30","622","622","n/e","33","33","n/e","77","77","n/e"
"02.01.2021 12:30 - 02.01.2021 12:45","594","594","n/e","34","34","n/e","76","76","n/e"
"02.01.2021 12:45 - 02.01.2021 13:00","569","569","n/e","34","34","n/e","73","73","n/e"
"02.01.2021 13:00 - 02.01.2021 13:15","543","543","n/e","35","35","n/e","70","70","n/e"
"02.01.2021 13:15 - 02.01.2021 13:30","497","497","n/e","34","34","n/e","63","63","n/e"
"02.01.2021 13:30 - 02.01.2021 13:45","449","449","n/e","33","33","n/e","57","57","n/e"
"02.01.2021 13:45 - 02.01.2021 14:00","404","404","n/e","32","32","n/e","51","51","n/e"
"02.01.2021 14:00 - 02.01.2021 14:15","356","356","n/e","31","31","n/e","44","44","n/e"
"02.01.2021 14:15 - 02.01.2021 14:30","305","305","n/e","30","30","n/e","43","43","n/e"
"02.01.2021 14:30 - 02.01.2021 14:45","253","253","n/e","28","28","n/e","44","44","n/e"
"02.01.2021 14:45 - 02.01.2021 15:00","200","200","n/e","27","27","n/e","44","44","n/e"
"02.01.2021 15:00 - 02.01.2021 15:15","146","146","n/e","25","25","n/e","46","46","n/e"
"02.01.2021 15:15 - 02.01.2021 15:30","118","118","n/e","25","25","n/e","46","46","n/e"
"02.01.2021 15:30 - 02.01.2021 15:45","87","87","n/e","26","26","n/e","46","46","n/e"
"02.01.2021 15:45 - 02.01.2021 16:00","59","59","n/e","27","27","n/e","45","45","n/e"
"02.01.2021 16:00 - 02.01.2021 16:15","29","29","n/e","28","28","n/e","43","43","n/e"
"02.01.2021 16:15 - 02.01.2021 16:30","22","22","n/e","30","30","n/e","44","44","n/e"
"02.01.2021 16:30 - 02.01.2021 16:45","14","14","n/e","33","33","n/e","47","47","n/e"
"02.01.2021 16:45 - 02.01.2021 17:00","6","6","n/e","36","36","n/e","51","51","n/e"
"02.01.2021 17:00 - 02.01.2021 17:15","0","0","n/e","38","38","n/e","55","55","n/e"
"02.01.2021 17:15 - 02.01.2021 17:30","0","0","n/e","42","42","n/e","57","57","n/e"
"02.01.2021 17:30 - 02.01.2021 17:45","0","0","n/e","47","47","n/e","61","61","n/e"
"02.01.2021 17:45 - 02.01.2021 18:00","0","0","n/e","52","52","n/e","64","64","n/e"
